ID,English,Chinese,German,Arabic
10670100,Witchbane Ruins,封印魔女的废墟,Hexenfluchruinen,أﻧﻘﺎض ﻟﻌﻧﺔ اﻟﺳﺎﺣﺭ
10670101,The First Step,引导之始,Der erste Schritt,اﻟﺧﻁﻭة اﻷوﻟﻰ
10670102,Agheel Lake,亚基尔湖,Agheel-See,ﺑﺣﻳﺭة أﻏﻳﻝ
10670103,Dragon-Burnt Ruins,龙息废墟,Vom Drachen verbrannte Ruinen,أﻧﻘﺎض ﺣﺭاﺋﻖ اﻟﺗﻧﻳﻥ
10670104,Peninsula Minor Erdtree,半岛小黄金树,Niederer Erdenbaum – Halbinsel,ﺷﺑﻪ ﺟﺯﻳﺭة ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670105,Castle Morne,摩恩城,Schloss Morne,ﻗﻠﻌﺔ ﻣﻭرن
10670106,Waypoint Ruins,驿站街遗迹,Ruinen eines Wegpunkts,أﻧﻘﺎض اﻟﻭﺟﻬﺔ
10670130,Castleward Tunnel,通城隧道,Tunnel zum Schloss,ﻧﻔﻖ ﺟﻧﺎح اﻟﻘﻠﻌﺔ
10670131,Secluded Cell,深处小房间,Abgelegene Zelle,اﻟﺯﻧﺯاﻧﺔ اﻟﻣﻧﻌﺯﻟﺔ
10670132,Liftside Chamber,升降机旁房间,Kammer auf Aufzugsseite,ﻏﺭﻓﺔ ﺟﺎﻧﺏ اﻟﻣﺻﻌﺩ
10670133,Rampart Tower,城墙塔,Wallturm,ﺑﺭج اﻟﺳﻭر
10670134,Stormveil Cliffside,史东薇尔断崖,Sturmschleier-Klippen,ﺟﺭف ﺳﺗﻭرﻣﻔﻳﻝ
10670135,Stormveil Main Gate,史东薇尔正门,Sturmschleier-Haupttor,ﺑﻭاﺑﺔ ﺳﺗﻭرﻣﻔﻳﻝ اﻟﺭﺋﻳﺳﻳﺔ
10670160,Tombsward Catacombs,灵庙原野地下墓地,Katakomben des Gräberwalls,ﺳﺭادﻳﺏ ﺟﻧﺎح اﻟﻣﻘﺎﺑﺭ
10670161,Impaler's Catacombs,穿刺地下墓地,Katakomben des Pfählers,ﺳﺭادﻳﺏ اﻟﻣﺛﻘﻭب
10670162,Stormfoot Catacombs,风暴根脚的地下墓地,Sturmfuß-Katakomben,ﺳﺭادﻳﺏ ﻗﺩم اﻟﻌﺎﺻﻔﺔ
10670163,Deathtouched Catacombs,死亡降临的地下墓地,Todberührte Katakomben,اﻟﺳﺭادﻳﺏ اﻟﻣﺗﺄﺛﺭة ﺑﺎﻟﻣﻭت
10670164,Murkwater Catacombs,蒙流地下墓地,Trübflusskatakomben,ﺳﺭادﻳﺏ اﻟﻣﺎء اﻟﻣﻌﻛﺭ
10670170,Tombsward Cave,灵庙原野洞窟,Höhle des Gräberwalls,ﻛﻬﻑ ﺟﻧﺎح اﻟﻣﻘﺎﺑﺭ
10670171,Earthbore Cave,垂穴洞窟,Erdschlundhöhle,ﻛﻬﻑ ﻗﻠﺏ اﻷرض
10670172,Murkwater Cave,蒙流洞窟,Trübflusshöhle,ﻛﻬﻑ اﻟﻣﺎء اﻟﻣﻌﻛﺭ
10670173,Groveside Cave,近林洞窟,Hainhöhle,ﻛﻬﻑ ﺟﺎﻧﺏ اﻟﺑﺳﺗﺎن
10670174,Coastal Cave,海岸洞窟,Küstenhöhle,اﻟﻛﻬﻑ اﻟﺳﺎﺣﻠﻲ
10670175,Highroad Cave,大道下的洞窟,Hochstraßen-Höhle,ﻛﻬﻑ اﻟﻁﺭﻳﻖ اﻟﺳﺭﻳﻊ
10670180,Morne Tunnel,摩恩坑道,Tunnel von Morne,ﻧﻔﻖ ﻣﻭرن
10670181,Limgrave Tunnels,宁姆格福坑道,Tunnel von Limgrave,أﻧﻔﺎق ﻟﻳﻣﻐﺭﻳﻑ
10670200,Lake Minor Erdtree,湖之小黄金树,Niederer Erdenbaum – See,ﺑﺣﻳﺭة ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670201,Temple Quarter,教堂区,Tempelviertel,ﺣﻲ اﻟﻣﻌﺑﺩ
10670202,Village of the Albinaurics,白金村,Dorf der Albinaurics,ﻗﺭﻳﺔ اﻟﻣُﻬﻖ اﻟﺫﻫﺑﻳﻳﻥ
10670203,Kingsrealm Ruins,王室领地废墟,Königliche Ruinen,أﻧﻘﺎض ﻣﻣﻠﻛﺔ اﻟﻣﻠﻭك
10670204,Caria Manor,卡利亚城寨,Anwesen von Caria,ﻗﺻﺭ ﻛﺎرﻳﺎ
10670205,Uld Minor Erdtree,兀德小黄金树,Niederer Erdenbaum – Uld,ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة اﻟﻌﺗﻳﻘﺔ
10670230,Main Academy Gate,学院正门口,Haupttor der Akademie,ﺑﻭاﺑﺔ اﻷﻛﺎدﻳﻣﻳﺔ اﻟﺭﺋﻳﺳﻳﺔ
10670231,Schoolhouse Classroom,校舍内的教室,Schulklassenraum,ﻓﺻﻝ اﻟﻣﺩرﺳﺔ
10670232,Church of the Cuckoo,杜鹃教堂,Kirche des Kuckucks,ﻛﻧﻳﺳﺔ اﻟﻭﻗﻭاﻗﻳﺔ
10670233,Debate Parlor,讨论室,Forum der Debatte,ﻗﺎﻋﺔ اﻟﻣﻧﺎﻅﺭة
10670240,Ruin-Strewn Precipice,古遗迹断崖,Ruinenübersäter Abgrund,ﻫﺎوﻳﺔ اﻟﺩﻣﺎر اﻟﻣﺑﻌﺛﺭ
10670241,Ruin-Strewn Precipice Overlook,古遗迹断崖（对岸）,Ruinenübersäter Abgrund – Aussichtspunkt,ﻣﺭﺻﺩ ﻫﺎوﻳﺔ اﻟﺩﻣﺎر اﻟﻣﻧﺗﺷﺭ
10670260,Black Knife Catacombs,黑刀地下墓地,Katakomben der Schwarzen Klinge,ﺳﺭادﻳﺏ اﻟﺳﻛﻳﻥ اﻟﺳﻭداء
10670261,Road's End Catacombs,绝路地下墓地,Katakomben am Wegesende,ﺳﺭادﻳﺏ ﻧﻬﺎﻳﺔ اﻟﻁﺭﻳﻖ
10670262,Cliffbottom Catacombs,断崖下的地下墓地,Katakomben am Klippenfuß,ﺳﺭادﻳﺏ أﺳﻔﻝ اﻟﺟﺭف
10670270,Stillwater Cave,留水洞窟,Stillwasserhöhle,ﻛﻬﻑ اﻟﻣﺎء اﻟﺭاﻛﺩ
10670271,Lakeside Crystal Cave,湖旁结晶洞窟,Kristallhöhle am See,ﻛﻬﻑ اﻟﺑﺣﻳﺭة اﻟﺑﻠﻭري
10670272,Academy Crystal Cave,学院结晶洞窟,Kristallhöhle der Akademie,ﻛﻬﻑ اﻷﻛﺎدﻳﻣﻳﺔ اﻟﺑﻠﻭري
10670280,Raya Lucaria Crystal Tunnel,雷亚卢卡利亚结晶坑道,Kristalltunnel von Raya Lucaria,ﻧﻔﻖ راﻳﺎ ﻟﻭﻛﺎرﻳﺎ اﻟﺑﻠﻭري
10670300,Fort Laiedd South,,Süden der Festung Laiedd,ﺣﺻﻥ ﻟﻳﺩ اﻟﺟﻧﻭﺑﻲ
10670301,Hermit Village Cliff Road,通往遁世者村的崖上道路,Einsiedlerdorf – Klippenstraße,ﻁﺭﻳﻖ ﺟﺭف ﻗﺭﻳﺔ اﻟﺯاﻫﺩ
10670303,Road of Iniquity,移送罪人之路,Straße der Sünde,ﻁﺭﻳﻖ اﻟﻅﻼم
10670304,Craftsman's Shack,匠人的破屋,Handwerkerhütte,ﻛﻭخ اﻟﺣﺭﻓﻲ
10670305,Wyndham Ruins,威达姆废墟,Ruinen von Wyndham,أﻧﻘﺎض واﻳﻧﺩام
10670306,The Shaded Castle,日荫城,Die Schattenburg,اﻟﻘﻠﻌﺔ اﻟﻣﻅﻠﻠﺔ
10670307,Writheblood Ruins,蠕血废墟,Sturmblutruinen,أﻧﻘﺎض اﻟﺩﻣﺎء
10670308,Windmill Village,风车村多明努拉,Dominula,دوﻣﻳﻧﻭﻻ، ﻗﺭﻳﺔ اﻟﻁﺎﺣﻭﻧﺔ
10670309,Outer Wall Minor Erdtree,城外小黄金树,Niederer Erdenbaum – Außenwall,اﻟﺳﻭر اﻟﺧﺎرﺟﻲ ﻟﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670310,Outer Wall East,,Östlicher Außenwall,ﺷﺭق اﻟﺳﻭر اﻟﺧﺎرﺟﻲ
10670330,East Capital Rampart,王城东边城墙,Östlicher Hauptstadtwall,ﺳﻭر اﻟﻌﺎﺻﻣﺔ اﻟﺷﺭﻗﻲ
10670331,Avenue Balcony,大道旁露台,Straßenbalkon,ﺷﺭﻓﺔ اﻟﺩرب
10670332,Lower Capital Church,王城底层教堂,Untere Hauptstadtkapelle,ﻛﻧﻳﺳﺔ اﻟﻌﺎﺻﻣﺔ اﻟﺳﻔﻠﻰ
10670333,West Capital Rampart,王城西边城墙,Westlicher Hauptstadtwall,ﺳﻭر اﻟﻌﺎﺻﻣﺔ اﻟﻐﺭﺑﻲ
10670334,Queen's Bedchamber,女王闺阁,Schlafgemach der Königin,ﻏﺭﻓﺔ ﻧﻭم اﻟﻣﻠﻛﺔ
10670340,Underground Roadside,地底大道旁,Unterirdische Straße,اﻟﻁﺭﻳﻖ اﻟﺟﺎﻧﺑﻲ اﻟﺳﻔﻠﻲ
10670341,Forsaken Depths,弃置恶兆的底层,Tiefe der Verlorenen,أﻋﻣﺎق اﻟﻣﻧﺑﻭذﻳﻥ
10670342,Leyndell Catacombs,罗德尔地下墓地,Katakomben von Leyndell,ﺳﺭادﻳﺏ ﻟﻳﻧﺩل
10670351,Prison Town Church,牢镇教堂,Kirche der Kerkergemeinde,ﻛﻧﻳﺳﺔ ﺳﺟﻥ اﻟﺑﻠﺩة
10670352,Guest Hall,迎宾厅,Gästehalle,ﻗﺎﻋﺔ اﻟﺿﻳﻭف
10670353,Temple of Eiglay,艾格蕾教堂,Tempel von Eiglay,ﻣﻌﺑﺩ إﻳﻐﻼي
10670354,Audience Pathway,谒见之路,Audienzpfad,ﻣﻣﺭ اﻟﺟﻣﻬﻭر
10670360,Sainted Hero's Grave,尊贵者的英雄墓地,Grab des heiligen Helden,ﻣﻘﺑﺭة اﻟﺑﻁﻝ اﻟﻘﺩﻳﺱ
10670361,Gelmir Hero's Grave,格密尔英雄墓地,Grab des Helden von Gelmir,ﻣﻘﺑﺭة ﺑﻁﻝ ﻏﻳﻠﻣﻳﺭ
10670362,Auriza Hero's Grave,亚雷萨英雄墓地,Grab des Helden von Auriza,ﻣﻘﺑﺭة ﺑﻁﻝ أورﻳﺯا
10670363,Unsightly Catacombs,丑恶地下墓地,Entstellte Katakomben,اﻟﺳﺭادﻳﺏ اﻟﺷﻧﻳﻌﺔ
10670364,Wyndham Catacombs,威达姆地下墓地,Katakomben von Wyndham,ﺳﺭادﻳﺏ واﻳﻧﺩام
10670370,Seethewater Cave,沸滚河洞窟,Donnerstromhöhle,ﻛﻬﻑ اﻟﻣﺎء اﻟﺛﺎﺋﺭ
10670371,Volcano Cave,火山洞窟,Vulkanhöhle,ﻛﻬﻑ اﻟﺑﺭﻛﺎن
10670372,Perfumer's Grotto,调香师的隐藏洞窟,Parfümeursgrotte,ﻣﻐﺎرة ﺻﺎﻧﻌﻲ اﻟﻌﻁﻭر
10670373,Sage's Cave,贤者的洞窟,Höhle des Weisen,ﻛﻬﻑ اﻟﺣﻛﻳﻡ
10670380,Old Altus Tunnel,旧亚坛坑道,Alter Altustunnel,ﻧﻔﻖ أﻟﺗﻭس اﻟﻘﺩﻳﻡ
10670381,Altus Tunnel,亚坛坑道,Altustunnel,ﻧﻔﻖ أﻟﺗﻭس
10670390,Sealed Tunnel,封印坑道,Versiegelter Tunnel,اﻟﻧﻔﻖ اﻟﻣﺳﺩود
10670400,Caelid Minor Erdtree,盖利德小黄金树,Niederer Erdenbaum – Caelid,ﻛﺎﻳﻠﻳﺩ ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670401,Caelem Ruins,奇列姆废墟,Ruinen von Caelem,أﻧﻘﺎض ﻛﺎﻳﻠﻡ
10670402,Caelid Highway South,盖利德大道南方,Südhochstraße von Caelid,ﻁﺭﻳﻖ ﻛﺎﻳﻠﻳﺩ اﻟﺳﺭﻳﻊ اﻟﺟﻧﻭﺑﻲ
10670403,Swamp of Aeonia,艾奥尼亚沼泽,Sumpf von Aeonia,ﻣﺳﺗﻧﻘﻊ أﻳﻭﻧﻳﺎ
10670404,Town of Sorcery,魔法镇瑟利亚,Sellia,ﺳﻳﻠﻳﺎ، ﺑﻠﺩة اﻟﺳﺣﺭ
10670405,Greyoll's Dragonbarrow,,Greyolls Drachenhügel,ﺗﻝ ﺗﻧﻳﻥ ﻏﺭﻳﻳﻭل
10670406,Redmane Castle,红狮子城,Schloss Rotmähne,ﻗﻠﻌﺔ رﻳﺩﻣﺎﻳﻥ
10670407,Wailing Dunes South,,Südliche Klagedünen,ﻛﺛﺑﺎن اﻟﻌﻭﻳﻝ اﻟﺟﻧﻭﺑﻳﺔ
10670408,Dragonbarrow Minor Erdtree,龙墓小黄金树,Niederer Erdenbaum – Drachenhügel,ﺗﻝ ﺗﻧﻳﻥ ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670409,Farum Greatbridge,法姆大桥,Große Brücke von Farum,ﺟﺳﺭ ﻓﺎروم اﻟﻌﻅﻳﻡ
10670460,Minor Erdtree Catacombs,小黄金树地下墓地,Niederer Erdenbaumkatakomben,ﺳﺭادﻳﺏ ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670461,Caelid Catacombs,盖利德地下墓地,Katakomben von Caelid,ﺳﺭادﻳﺏ ﻛﺎﻳﻠﻳﺩ
10670462,War-Dead Catacombs,英灵地下墓地,Katakomben der Kriegsopfer,ﺳﺭادﻳﺏ ﻣﻭﺗﻰ اﻟﺣﺭب
10670470,Gaol Cave,牢狱洞窟,Kerkerhöhle,ﻛﻬﻑ اﻟﺳﺟﻥ
10670471,Dragonbarrow Cave,龙墓洞窟,Drachenhügelhöhle,ﻛﻬﻑ ﺗﻝ اﻟﺗﻧﻳﻥ
10670472,Abandoned Cave,废弃洞窟,Verlassene Höhle,اﻟﻛﻬﻑ اﻟﻣﻬﺟﻭر
10670473,Sellia Hideaway,瑟利亚隐藏洞窟,Sellias Versteck,ﻣﺧﺑﺄ ﺳﻳﻠﻳﺎ
10670480,Gael Tunnel,盖尔坑道,Gaeltunnel,ﻧﻔﻖ ﻏﺎﻳﻝ
10670481,Sellia Crystal Tunnel,瑟利亚结晶坑道,Kristalltunnel von Sellia,ﻧﻔﻖ ﺳﻳﻠﻳﺎ اﻟﺑﻠﻭري
10670490,Divine Tower of Caelid,盖利德神授塔,Heiliger Turm von Caelid,ﺑﺭج ﻛﺎﻳﻠﻳﺩ اﻟﺳﻣﺎوي
10670500,Forbidden Lands,禁域,Verbotene Lande,اﻷراﺿﻲ اﻟﻣﺣﻅﻭرة
10670501,Freezing Lake,结冰湖,Eisiger See,اﻟﺑﺣﻳﺭة اﻟﻣﺗﺟﻣﺩة
10670502,Foot of the Forge,火焰大锅下方,Fuß der Schmiede,ﺳﻔﺢ اﻟﻣﺻﻬﺭ
10670503,Mountaintop Minor Erdtree,山顶小黄金树,Niederer Erdenbaum – Berggipfel,أﻋﻠﻰ ﺟﺑﻝ ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670504,Ancient Valley Ruins,古遗迹山谷,Ruinen des Urtals,أﻧﻘﺎض اﻟﻭادي اﻟﻌﺭﻳﻖ
10670505,Castle Sol,索尔城,Schloss Sol,ﻗﻠﻌﺔ ﺳﻭل
10670506,Freezing River,结冰河,Eisiger Fluss,اﻟﻧﻬﺭ اﻟﻣﺗﺟﻣﺩ
10670507,Snowfield Minor Erdtree,雪原小黄金树,Niederer Erdenbaum – Schneefeld,ﺣﻘﻝ ﺛﻠﺞ ﺷﺟﺭة إرد اﻟﺻﻐﻳﺭة
10670530,Haligtree Canopy,圣树树冠,Haligbaum – Krone,ﻗﺑﺔ ﻫﺎﻟﻳﻐﺗﺭي
10670531,Haligtree Town,圣树镇,Haligbaum – Stadt,ﺑﻠﺩة ﻫﺎﻟﻳﻐﺗﺭي
10670532,Haligtree Town Plaza,圣树镇（广场）,Haligbaum – Stadtplatz,ﺳﺎﺣﺔ ﺑﻠﺩة ﻫﺎﻟﻳﻐﺗﺭي
10670534,Haligtree Promenade,圣树大舞台,Promenade des Haligbaums,ﻣﺗﻧﺯه ﻫﺎﻟﻳﻐﺗﺭي
10670535,Prayer Room,祈祷室,Gebetsraum,ﻏﺭﻓﺔ اﻟﺗﺿﺭع
10670536,Elphael Inner Wall,艾布雷菲尔城墙内部,Elphael – Innenwall,ﺟﺩار إﻟﻔﺎﺋﻳﻝ اﻟﺩاﺧﻠﻲ
10670537,Drainage Channel,排水通道,Abwasserkanal,ﻗﻧﺎة اﻟﺻﺭف اﻟﺻﺣﻲ
10670539,Haligtree Roots,圣树底层,Haligbaum – Wurzeln,ﺟﺫور ﻫﺎﻟﻳﻐﺗﺭي
10670560,Giant-Conquering Hero's Grave,,Grab des heroischen Riesentöters,ﻣﻘﺑﺭة اﻟﺑﻁﻝ اﻟﻌﻣﻼق اﻟﻐﺎزي
10670561,Giants' Mountaintop Catacombs,巨人山顶地下墓地,Katakomben des Riesengipfels,ﺳﺭادﻳﺏ ﻗﻣﻡ ﺟﺑﺎل اﻟﻌﻣﺎﻟﻘﺔ
10670562,Consecrated Snowfield Catacombs,化圣雪原地下墓地,Geweihtes Schneefeld – Katakomben,ﺳﺭادﻳﺏ اﻟﺣﻘﻝ اﻟﺛﻠﺟﻲ اﻟﻣﻘﺩس
10670563,Hidden Path to the Haligtree,通往圣树的密道,Geheimpfad zum Haligbaum,اﻟﻁﺭﻳﻖ اﻟﺧﻔﻲ إﻟﻰ ﻫﺎﻟﻳﻐﺗﺭي
10670570,Cave of the Forlorn,安身洞窟,Höhle der Verlorenen,ﻛﻬﻑ اﻟﻣﻧﺑﻭذ
10670571,Spiritcaller Cave,唤灵洞窟,Höhle des Geisterrufers,ﻛﻬﻑ ﻣﺳﺗﺩﻋﻲ اﻷرواح
10670580,Yelough Anix Tunnel,耶罗·亚尼斯坑道,Tunnel von Yelough Anix,ﻧﻔﻖ ﻳﻠﻭغ أﻧﻳﻛﺱ
10670610,Ainsel River Well Depths,安瑟尔河（井底）,Brunnenboden an der Ainsel,أﻋﻣﺎق ﺑﺋﺭ ﻧﻬﺭ أﻳﻧﺳﻝ
10670611,Ainsel River Sluice Gate,安瑟尔河（水门）,Schleusentor der Ainsel,ﺑﻭاﺑﺔ ﺳﺩ ﻧﻬﺭ أﻳﻧﺳﻝ
10670612,Ainsel River Downstream,安瑟尔河（下游）,Unterlauf der Ainsel,ﻣﺻﺏ ﻧﻬﺭ أﻳﻧﺳﻝ
10670613,Ainsel River Main,,Hauptarm der Ainsel,ﻣﻧﺑﻊ ﻧﻬﺭ أﻳﻧﺳﻝ
10670614,Eternal City,“永恒之城”诺克史黛拉,Nokstella,ﻧﻭﻛﺳﺗﻳﻼ، اﻟﻣﺩﻳﻧﺔ اﻟﺧﺎﻟﺩة
10670615,Lake of Rot Shoreside,腐败湖畔,Ufer des Fäulnissees,ﺳﺎﺣﻝ ﺑﺣﻳﺭة اﻟﻌﻔﻥ
10670616,Grand Cloister,大回廊,Großer Kreuzgang,اﻟﺩﻳﺭ اﻟﻛﺑﻳﺭ
10670620,Siofra River Bank,希芙拉河（岸边）,Ufer des Siofra,ﺿﻔﺔ ﻧﻬﺭ ﺳﻳﻭﻓﺭا
10670621,Worshippers' Woods,信仰者森林,Wald der Jünger,ﻏﺎﺑﺔ اﻷﺗﺑﺎع
10670622,Mimic Tear,仿身泪滴,Imitator-Träne,اﻟﺩﻣﻭع اﻟﻣﺣﺎﻛﻳﺔ
10670623,Ancestral Woods,祖灵森林,Wald der Ahnen,ﻏﺎﺑﺔ اﻷﺳﻼف
10670624,Aqueduct-Facing Cliffs,导水桥旁断崖,Aquäduktklippen,اﻟﺟﺭوف اﻟﻣﻘﺎﺑﻠﺔ ﻟﻠﻘﻧﺎة
10670625,Night's Sacred Ground,黑夜神域,Heilige Stätte der Nacht,أرض اﻟﻠﻳﻝ اﻟﻣﻘﺩﺳﺔ
10670626,Below the Well,出口井的下方,Unter dem Brunnen,أﺳﻔﻝ اﻟﺑﺋﺭ
10670630,Root-Facing Cliffs,树根旁断崖,Wurzelklippen,اﻟﺟﺭوف اﻟﻣﻘﺎﺑﻠﺔ ﻟﻠﺟﺫور
10670631,Great Waterfall Crest,大瀑布顶端,Kamm der Großen Fälle,ﻗﻣﺔ اﻟﺷﻼل اﻟﻌﻅﻳﻡ
10670632,Deeproot Depths,深根底层,Tiefen von Tiefwurz,أﻋﻣﺎق دﻳﺑﺭوت
10670633,Across the Roots,树根前路,Wurzelfurt,ﻋﺑﺭ اﻟﺟﺫور
10670634,The Nameless Eternal City,无名永恒之城,Namenlose Ewige Stadt,اﻟﻣﺩﻳﻧﺔ اﻟﺧﺎﻟﺩة اﻟﻣﺟﻬﻭﻟﺔ
10670650,Palace Approach Ledge-Road,,Palastallee,ﻗﺻﺭ ﻁﺭﻳﻖ اﻟﻣﻧﺣﺩر
10670651,Dynasty Mausoleum Entrance,王朝庙（入口）,Dynastiemausoleum – Eingang,ﻣﺩﺧﻝ ﺿﺭﻳﺢ اﻟﺳﻼﻟﺔ
10670652,Dynasty Mausoleum Midpoint,王朝庙（中段）,Dynastiemausoleum – Mitte,ﻣﻧﺗﺻﻑ ﺿﺭﻳﺢ اﻟﺳﻼﻟﺔ
10670670,Siofra River Well Depths,希芙拉河（井底）,Bodenbrunnen am Siofra,أﻋﻣﺎق ﺑﺋﺭ ﻧﻬﺭ ﺳﻳﻭﻓﺭا
10670671,Eternal City,“永恒之城”诺克隆恩,Nokron,ﻧﻭﻛﺭون، اﻟﻣﺩﻳﻧﺔ اﻟﺧﺎﻟﺩة
10670730,Queen's Bedchamber,女王闺阁,Schlafgemach der Königin,ﻏﺭﻓﺔ ﻧﻭم اﻟﻣﻠﻛﺔ
10670731,Erdtree Sanctuary,黄金树大教堂,Refugium des Erdenbaums,ﻣﻼذ ﺷﺟﺭة إرد
10670740,Crumbling Beast Grave,渐毁野兽墓,Verfallenes Bestiengrab,ﻣﻘﺑﺭة اﻟﻭﺣﺵ اﻟﻣﻧﻬﺎرة
10670741,Crumbling Beast Grave Depths,渐毁野兽墓（深处）,Verfallenes Bestiengrab – Tiefen,أﻋﻣﺎق ﻣﻘﺑﺭة اﻟﻭﺣﺵ اﻟﻣﻧﻬﺎرة
10670742,Tempest-Facing Balcony,龙卷旁露台,Sturmbalkon,ﺷﺭﻓﺔ اﻟﺯوﺑﻌﺔ
10670743,Dragon Temple,龙教堂,Drachentempel,ﻣﻌﺑﺩ اﻟﺗﻧﻳﻥ
10670744,Dragon Temple Altar,龙教堂祭坛,Drachentempel – Altar,ﻣﺫﺑﺢ ﻣﻌﺑﺩ اﻟﺗﻧﻳﻥ
10670745,Dragon Temple Lift,龙教堂（升降机前）,Drachentempel – Aufzug,ﻣﺻﻌﺩ ﻣﻌﺑﺩ اﻟﺗﻧﻳﻥ
10670746,Beside the Great Bridge,大桥侧边,An der Großen Brücke,ﺑﺟﺎﻧﺏ اﻟﺟﺳﺭ اﻟﻌﻅﻳﻡ
10670747,Dragon Temple Rooftop,龙教堂（屋顶）,Drachentempel – Dach,ﺳﻘﻑ ﻣﻌﺑﺩ اﻟﺗﻧﻳﻥ
10670750,Elden Throne,艾尔登宝座,Eldenthron,ﻋﺭش إﻟﺩن
10670800,Western Nameless Mausoleum,西方无名灵庙,Westliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﻐﺭﺑﻲ اﻟﻣﺟﻬﻭل
10670801,Lake North of the Greatbridge,大桥北方（湖）,See nördlich der großen Brücke,ﺑﺣﻳﺭة ﺷﻣﺎل اﻟﺟﺳﺭ اﻟﻌﻅﻳﻡ
10670802,Castle Front,城的前方,Vorderseite des Schlosses,واﺟﻬﺔ اﻟﻘﻠﻌﺔ
10670803,Castle-Lord's Chamber,城主的房间,Kammer des Schlossherren,ﻏﺭﻓﺔ ﻟﻭرد اﻟﻘﻠﻌﺔ
10670804,Cerulean Coast,青蓝海岸,Himmelblaues Ufer,اﻟﺳﺎﺣﻝ اﻟﻼزوردي
10670805,Demi-Human Valley,亚人谷,Tal der Halbmenschen,وادي اﻟﻧﺻﻑ ﺑﺷﺭ
10670806,Southern Nameless Mausoleum,南方无名灵庙,Südliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺟﻧﻭﺑﻲ اﻟﻣﺟﻬﻭل
10670807,Drake Graveyard,飞龙墓地,Drachlingfriedhof,ﻣﻘﺑﺭة اﻟﺗﻧﻳﻥ
10670808,Hidden Grave South,隐藏墓地（南方）,Südliches verstecktes Grab,ﺟﻧﻭب اﻟﻘﺑﺭ اﻟﻣﺧﻔﻲ
10670809,Hidden Grave North,隐藏墓地（北方）,Nördliches verstecktes Grab,ﺷﻣﺎل اﻟﻘﺑﺭ اﻟﻣﺧﻔﻲ
10670810,Foot of the Jagged Peak,尖刺山的山脚,Fuß des Klingengipfels,ﺳﻔﺢ اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
10670811,Jagged Peak Cavern,尖刺山洞穴,Höhle des Klingengipfels,ﻣﻐﺎرة اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
10670812,Jagged Peak Summit,尖刺山（山顶）,Spitze des Klingengipfels,ذروة اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
10670813,Lower Level,驱暗地下墓地（最底层）,Dunkellichtkatakomben,ﺳﺭادﻳﺏ اﻟﻧﻭر اﻟﻣﻅﻠﻡ اﻟﻣﺳﺗﻭى اﻟﺳﻠﻔﻲ
10670814,Manse Hall,府邸大厅,Halle des Pfarrhauses,ﻗﺎﻋﺔ اﻟﻘﺻﺭ
10670815,Second Floor Chamber,,Kammer im ersten Stock,ﻏﺭﻓﺔ اﻟﻁﺎﺑﻖ اﻟﺛﺎﻧﻲ
10670830,Stone Coffin Fissure,石棺大洞,Riss im Steinsarg,ﺻﺩع اﻟﺗﺎﺑﻭت اﻟﺣﺟﺭي
10670831,Fissure Depths,大洞深处,Tiefen des Risses,أﻋﻣﺎق اﻟﺻﺩع
10670840,Darkroad Sanctuary,暗路教堂,Refugium am Dunkelweg,ﻣﻼذ اﻟﻁﺭﻳﻖ اﻟﻣﻅﻠﻡ
10670841,Tower Settlement,“塔之镇”贝瑞特,Belurat,ﺑﻳﻠﻭرات، ﻣﺳﺗﻭﻁﻧﺔ اﻟﺑﺭج
10670842,Small Private Altar,民宅小祭坛,Kleiner privater Altar,ﻣﺫﺑﺢ ﺻﻐﻳﺭ ﻣﻐﻠﻖ
10670843,Stagefront,舞台前方,Vorderseite der Bühne,واﺟﻬﺔ اﻟﻣﺗﺟﺭ
10670850,Enir-Ilim: Outer Wall,,Enir-Ilim – Innenwall,إﻧﻳﺭ إﻳﻠﻳﻡ: اﻟﺳﻭر اﻟﺧﺎرﺟﻲ
10670851,First Rise,第一塔,Erster Turm,اﻟﻘﻣﺔ اﻷوﻟﻰ
10670852,Spiral Rise,螺旋塔,Spiralturm,اﻟﻘﻣﺔ اﻟﺣﻠﺯوﻧﻳﺔ
10670853,Cleansing Chamber Anteroom,,Vorraum der Reinigungskammer,ﻣﻧﻁﻘﺔ اﻧﺗﻅﺎر ﻏﺭﻓﺔ اﻟﺗﻁﻬﻳﺭ
